resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim2/pa+05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.234645,0,12,12,0,1
,,,,,,,stim2/pa-20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.15094,0,13,13,13,1
,,,,,,,stim2/pa-25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.118435,0,14,14,14,1
,,,,,,,stim2/pa+25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.13533,0,15,15,4,1
,,,,,,,stim2/pa-05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.21891,0,16,16,10,1
,,,,,,,stim2/pa-15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.16932,1,0,17,12,1
,,,,,,,stim2/pa-30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.1009,1,1,18,15,1
,,,,,,,stim2/pa+50.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.12031,1,2,19,9,1
,,,,,,,stim2/pa+05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.11854,1,3,20,0,1
,,,,,,,stim2/pa+20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.18657,1,4,21,3,1
,,,,,,,stim2/pa-05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.15267,1,5,22,10,1
