stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_08.wav,,,,,4,4,48,7,,,,,,,,,,,,,,,,,,,,,,,,,82.43105419981293,82.84403489995748,82.92737581983674,None,right,1.147922100033611,82.92750209989026,None,82.92750209989026,None,82.92750209989026,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_09.wav,,,,,4,5,49,8,,,,,,,,,,,,,,,,,,,,,,,,,84.09827749989927,84.51048559998162,84.59410711990203,None,right,1.3095376000273973,84.59394529997371,None,84.59394529997371,None,84.59394529997371,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_07.wav,,,,,4,6,50,6,,,,,,,,,,,,,,,,,,,,,,,,,85.92707199999131,86.32722099986859,86.42691111990716,None,left,2.513746000127867,86.42711499985307,None,86.42711499985307,None,86.42711499985307,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_11.wav,,,,,4,7,51,10,,,,,,,,,,,,,,,,,,,,,,,,,88.96421589981765,89.37721890001558,89.46050651983823,None,right,0.5747959001455456,89.46044489997439,None,89.46044489997439,None,89.46044489997439,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_01.wav,,,,,4,8,52,0,,,,,,,,,,,,,,,,,,,,,,,,,90.06040419987403,90.4605793999508,90.54364371981937,None,left,1.0126028000377119,90.54355429997668,None,90.54355429997668,None,90.54355429997668,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_02.wav,,,,,4,9,53,1,,,,,,,,,,,,,,,,,,,,,,,,,91.57846849993803,91.99353019986302,92.07684652002062,None,left,0.8374399999156594,92.0769761998672,None,92.0769761998672,None,92.0769761998672,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_05.wav,,,,,4,10,54,4,,,,,,,,,,,,,,,,,,,,,,,,,92.94374439981766,93.34343559993431,93.44357701980043,None,left,0.8418167000636458,93.44349029986188,None,93.44349029986188,None,93.44349029986188,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim2/pa+05.wav,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.37190919998102,None,99.3961104999762,99.80957239982672,99.89288061980623,None,left,2.1658636999782175,99.89297439996153,None,99.89297439996153,None,99.89297439996153,None,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim2/pa-30.wav,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.07801369996741,102.49289779993705,102.57622671995777,None,right,0.782676599919796,102.57622789987363,None,102.57622789987363,None,102.57622789987363,None,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim2/pa-15.wav,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.37737419991754,103.7927430998534,103.87629012002144,None,right,1.0378322000615299,103.87625829991885,None,103.87625829991885,None,103.87625829991885,None,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim2/pa-05.wav,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.94416359998286,105.35941849998198,105.44275661983993,None,right,1.167325000045821,105.44264609995298,None,105.44264609995298,None,105.44264609995298,None,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim2/pa+15.wav,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62543649994768,107.02610279992223,107.10931181984488,None,right,0.962800299981609,107.11011929996312,None,107.11011929996312,None,107.11011929996312,None,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
